id,text,Task A,Task B
5044,"Quindi un gay non può fare sesso con una donna trans a causa delle tette di silicone, il pene non basta (ovviamente le donne trans sono quelle bambole porno dell'immaginario comune poi magari dite di non essere transfobici) ma con una persona che ha le tette e pure la vagina sì",1,"Il tweet contiene odio omotransfobico perché ridicolizza e stereotipa le donne trans, facendo riferimento in modo denigratorio a caratteristiche fisiche (""tette di silicone"", ""bambole porno dell'immaginario comune"") e mettendo in dubbio la loro identità di genere, contribuendo a un discorso transfobico."
5045,"@user_abcd @user_abcdefgh @user_abcdefgh @user_ Perche non vai a combattere per i tuoi fratelli nazisti che stanno perdendo in modo vergognoso?, un conto è trucidare i civili filoRussi, ma quando si deve combattere contro i soldati Russi sti femminielli diventano pecore, vagli a dare una mano no?, col cazzo eh 😂",1,"Il tweet utilizza il termine ""femminielli"" in modo dispregiativo e denigratorio per riferirsi a persone considerate deboli o codarde, in un contesto offensivo e derisorio. Questo termine, spesso associato a stereotipi di genere e identità sessuale, viene usato qui per insultare e sminuire, configurando un contenuto di odio omotransfobico."
5046,@user_abcdefgh @user_abcdefghij @user_abcdefgh Eh ma com'è possibile che non siete riusciti a batte una squadra da intertoto? Vedi che ve servono pure a voi più giorni per recuperare. Ma il Galatasaray si è fatto dare 40 punti dal Trazbonspor che stava in intertoto. E comunque a te er Bologna t'ha rotto il culo.,0,
5047,@user_abcd Unica nota positiva della serata: sapere che l'anno prossimo il femminiello Dybala giocherà con loro. 😻😂,1,"Il tweet utilizza il termine ""femminiello"" in modo ironico e denigratorio riferito a Dybala, con un tono derisorio. ""Femminiello"" è un termine che può essere usato in modo offensivo per indicare una persona omosessuale o con caratteristiche di genere non conformi, quindi il tweet contiene odio omotransfobico."
5048,@user_abcdefgh Agnelli e Allegri sono fatti della stessa materia.E chi si assomigli si piglia. Il pres abbraccia il cinese il giorno prima della partita e il giorno lo pigliano per il culo con arbitraggio in pura malafede.A parti invertite avresti visto le sommosse dalla cina e i caschi blu quì,0,
5049,nomina una cosa gay ed omofoba e perché proprio la felpa orrenda di hoseok con scritto stussy sopra,0,
5050,@user_abcdefghi ti farei vedere la mia squadra.. frocia a livelli stellari,0,
5051,@user_abcde Secondo me si è fermato a travioni a Boccea,0,
5052,conservando primogems per il mio femminiello preferito xiao aspettami [URL],0,
5053,"Basta mi sono rotto il cazz* di tutte le prese per il culo che ho preso, d'ora in poi chi non mi rispetta avrà quello che si merita.",0,
5054,"@user_abcdefghij Madonna mia quei quattro peracottari! Non gli va proprio giù che MC e GA non li caghino di striscio! A furia di rompere le palle loro e Gloria non mi fanno godere per bene la sua storia. Poi io ho sempre amato Fede, ma con le loro teorie assurde me lo stano facendo odiare!",0,
5055,"@user_abcdef Lbgtq in realtà. Non chiedermi cosa sia la q, io ho capito solo la L di leccapassere e la T di travioni o transoni. Sulla G e B ho forti sospetti, ma preferisco non sbilanciarmi 😄",1,"Il tweet utilizza termini offensivi e denigratori (""leccapassere"", ""travioni"", ""transoni"") per riferirsi a persone LGBTQIA+, esprimendo disprezzo e stereotipi negativi. Nonostante il tono ironico o scherzoso, il contenuto è chiaramente omotransfobico."
5056,@user_abcdefg Stai zitto femminiello che non sapevi manco dove stava l’ucraina,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo offensivo e denigratorio, rivolto come insulto verso una persona presumibilmente per la sua identità di genere o espressione di genere, configurando un contenuto discriminatorio e di disprezzo verso persone LGBTQIA+."
5057,@user_abcdef Che poi non è una pratica Cristiana? È normale che se lo caghino solo le persone anziane,0,
5058,"@user_abcdefghi Con sincerità, vattelo a piglia' on culo truce tutti i cogliomi come te. Nel caso non lo avessi capito, si sei in COGLIONE",0,
5059,"@user_abcdefgh RAGAZZOTTI , FEMMINUCCE,FEMMINIELLI .,SMIDOLLATI E SMINCHIONATI ASSAI ** Sinistri *.. [URL]",1,"Il tweet utilizza termini dispregiativi e stereotipi offensivi come ""femminucce"", ""femminelli"", ""smidollati"" e ""sminchionati"", che sono spesso usati in modo denigratorio verso persone LGBTQIA+ o percepite come non conformi agli stereotipi di genere tradizionali. Il tono è chiaramente offensivo e denigratorio, quindi il contenuto è da considerarsi odio omotransfobico."
5060,"BACIO CON LINGUA, IL SATANISTA LUCA NALI (FOTO), SI #LUCANALI, NOTO OVUNQUE COME LUCA ""ANALI""! ANCHE LUI, PARTE DI NOSTRA MASSONERIA, LA 1MA #MASSONERIA OMOSESSUALE AL MONDO ""LA MASSONERIA IN ROSA DELLA ROSA ROSA""! CON GRAN MAESTRO IL GAY PERVERSO E NAZI卐LEGHISTA #GIOELEMAGALDI! [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza termini denigratori e offensivi come ""gay perverso"" in un contesto di derisione e accusa, associando l'omosessualità a connotazioni negative e complotti, con un tono chiaramente denigratorio e di incitamento all'odio."
5061,"lo dico subito prima che mi caghino il cazzo, con ""se la dedicano a vicenda"" non intendo che si stanno dichiarando amore eterno, parlo del modo in cui si presentano sul palco, della complicità delle voci 👍",0,
5062,FEMMINIELLI PAZZI SIMP RIGHT HERE [URL],1,"Il termine ""femminelli"" è un termine dispregiativo storicamente usato per denigrare uomini percepiti come effeminati o appartenenti alla comunità LGBTQIA+. L'uso in questo contesto, associato a ""pazzi"" e ""simp"" (termine spesso usato in modo derisorio), suggerisce un tono offensivo e denigratorio verso persone LGBTQIA+, configurando odio omotransfobico."
5063,chi era che aveva scritto quel tweet che diceva non esiste persona più gay e omofoba allo stesso tempo di Malgi0glio,0,
5064,@user_abcd Saverio ti fai il segno della croce prima di andare a Femminielli?,0,
5065,@user_abcdef Vai te a fare il cameriere in un albergo tre stelle in Romagna ti ci vedrei bene quello dovresti fare quello ti meriti brutto rotto in culo. Ancora che parla sto fallito cazzo ha meno del 2% E continua con le sue stronzate,0,
5066,"Lui invece a differenza dei paraculo , se la piglia in culo [URL]",0,
5067,non chiedo troppissimo solo almeno un mio fratello che mi dica “ciao se sei gay non ti odio anzi voglio conoscere la tua ragazza vieni a cena volentieri che ti facciamo le domande cringe che si fanno alle coppiette”,0,
5068,@user_abc anche vero che ci sono i femminielli ma non le maschielle,0,
5069,@user_abcdefghij @user_abcdefg Lo schifo che mi fa il femminiello asiatico vestito da rottinculo supera ogni cosa,1,"Il tweet contiene odio omotransfobico perché utilizza termini offensivi e denigratori (""schifo"", ""femminiello"", ""rottinculo"") rivolti a una persona presumibilmente LGBTQIA+, esprimendo disprezzo e pregiudizio."
5070,comunque io me la meritavo una palestra piena di boni fighi e almeno un paio in più di gay ma qua sono tutti vecchi ed etero fino al midollo,0,
5071,RT @user_abcdefghij cagna succhiacazzi cosa le fareste? [URL],0,
5072,"@user_abcdefg Intanto te lo piglia in culo con la sabbia grossa, ridicol9",0,
5073,"@user_abcde @user_abcdefgh I ragazzi, da che mondo è mondo, fanno a botte x qualsiasi motivo. È l' aggressività giovanile. Cazzo volete una generazione di ""femminielli"" con smalto e fondotinta?",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in modo dispregiativo e stereotipato, associandolo negativamente all'aggressività giovanile e deridendo chi esprime caratteristiche di genere non conformi. L'uso ironico-denigratorio del termine e la domanda retorica implicano un giudizio negativo verso persone LGBTQIA+."
5074,"Nella prossima puntata di #Vitalia, @user_abcd racconterà la juta dei femminielli di Montevergine, in provincia di Avellino. ▶️ Venerdì alle 23.55 su #Rai2 e #RaiPlay [URL]",0,
5075,Non ho ancora capito se takeomi sia omofobo o gay represso che vota S4lv1n1,0,
5076,Se volete potete studiare un po' la storia. Cretini. [URL],0,
5077,"Oggi mi sono ricordata delka dichiarazione di una madre sentita anni fa. Diceva: ""preferisco che mio figlio venga violentato da un pedofilo piuttosto che sia gay"". Ogni volta ho il magone allo stomaco a ripensarci. #LGBTQIA #Pride2022 #omofobia",0,
5078,"@user_abcdefghij Come diceva Jerry Calà (nel film ""Vacanze in America"") finito per sbaglio in una festa gay: ""Io sono per la vecchia FAIGA, understand?"" E uno di loro: ""Quanto sei antico."" E Calà: ""Quanto sei frocia...""",1,"Il tweet riporta un dialogo che utilizza termini offensivi e stereotipi omotransfobici come ""frocia"" in modo denigratorio e ironico, contribuendo a diffondere pregiudizi verso le persone LGBTQIA+."
5079,"ripetete insieme a me: i marpioni/maniaci esistono e non hanno genere, hanno sia la fessa che il cazzo, sono sia etero che lesbiche, bi, gay, transgender, pan &co e NESSUNO dev'essere mai giustificato,se sbagli, sbagli",0,
5080,E dopo #SheHulk io aspetto solo che caghino anche Neena e Felicia💘 [URL],0,
5081,"Nell’Italia che vorrei… Adozioni per single e coppie gay, matrimoni gay e maternità surrogata per tutti, chiaramente. #Bifobia",0,
5082,yesssss prima anche qui da noi così c'è qualche possibilità che ci caghino per il tour 🤩 [URL],0,
5083,@user_abcde Mi sciacquo le palle con il pensiero di Travione,0,
5084,La destra ferocia che ci difende dalla sinistra frocia... [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""frocia"" in modo dispregiativo per denigrare la sinistra, associando un orientamento sessuale a un insulto. L'uso del termine in questo contesto esprime un pregiudizio e un atteggiamento offensivo verso le persone LGBTQIA+."
5085,@user_abcdefghi Lei in Campania come femminiello ce lo teniamo😂🙃😉,1,"Il tweet utilizza il termine ""femminiello"", che in alcune regioni italiane può essere usato in modo dispregiativo o stereotipato nei confronti di persone LGBTQIA+, e il tono accompagnato dalle emoticon suggerisce una derisione o un atteggiamento denigratorio. Pertanto, il contenuto può essere interpretato come odio omotransfobico."
5086,"Come creare altre nuove divisioni con il #vaiolodellescimmie, fomentando odio verso blacks e gay. Settimana delle #Diversità e dell'#inclusione.",0,
5087,"#Vaiolo delle scimmie. Dopo la giornata mondiale in salsa arcobaleno #LGBT+oo, #SkyNewsUK ci spiega il virus si diffonda particolarmente tra gay, bisessuali e MSM È tutto così fantastico! #Informazione #EcoDelleScatoleCraniche [URL]",0,
5088,"Cosenza, 16enne insultato e picchiato dallo zio perché omosessuale: ""Ora muori a casa. Non vogliamo gay in famiglia"" Gravi lesioni e quattro costole rotte Per non dimenticare: Ottobre 2021, il senato approva affossamento DDL Zan,la destra più becera d'Europa esulta 👇 [URL]",0,
5089,"E da lì poi ha rotto i coglioni in ogni serie spin off possibile (sì raga non smetterò mai di riperterlo, non mi piace e lo prenderò per il culo fino alla morte) [URL]",0,
5090,"@user_abcd Sai che ti dico: che ve stanno a piglia’ per culo, vogliono i vostri voti! La guerra in Ucraina non è affare che possono gestire questi la gestisco Cina e USA svegliateve!",0,
5091,"È stata sempre una città in cui tutto e tutti sono compresi. I ""femminielli"" erano parte della comunità. Spero sempre che non si guasti la gente comune (al di là delle persone già guaste, che sono straordinariamente guaste). [URL]",0,
5092,ma che domanda è ci sono i gay se sono tutti dei froci #idolinsardegna,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""froci"" in modo dispregiativo per riferirsi ai gay, esprimendo un pregiudizio e un tono offensivo verso le persone LGBTQIA+."
5093,@user_abcde Non riesco ad immaginarmi un Turco buliccio... e neppure un Greco...Strano vero?!,0,
5094,"@user_abcdefgh E' giusto e normale che si caghino... quante volte è capitato a noi? Anche l'anno scorso con 10 punti di vantaggio ci veniva la cagarella, immagino loro.",0,
5095,@user_abcdefg sembra un travione di quelli potenti,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""travione"" in modo dispregiativo per riferirsi probabilmente a una persona transgender o queer, con un tono offensivo e denigratorio."
5096,chi e il femminiello che ha messo bladee all’h&m a foggia ?????,0,
5097,frocia e omofoba verso me stessa,0,
5098,quando torino diventerà il focolare principale di vaiolo delle scimmie in italia a causa della grande presenza di gay geriatria di madrid per l'eurovision,1,"Il tweet contiene odio omotransfobico perché associa in modo denigratorio e stereotipato la presenza di persone gay a una malattia, usando un tono offensivo e discriminatorio. L'espressione ""gay geriatria di madrid"" è usata in modo dispregiativo, contribuendo a un messaggio di pregiudizio verso la comunità LGBTQIA+."
5099,"Allontaniamo sti coglioni dal mondo Lazio? Ancora con te frasi razziste nel 2022 ad un ragazzetto che sta semplicemente lavorando. Avete rotto il cazzo merde umane. Col gommone ve ce manno io, ma a fare in culo [URL]",0,
5100,GODOOO GRANDE MILAN CONTRO QUEGLI SUCCHIACAZZI GODOOOO #SassuoloMilan,0,
5101,Eeeehhhh E non è nemmeno mai stato un femminiello [URL],0,
5102,"gente di merda. gender del cazzo. merde umane checche da ciao darwin che non siete ne uomo ne donna e umani. pedofili, anche persecutori di persone gay come me che sognano un cazzo di ragazzo umano normale. con tutte le carte in regola per essere un comune fidanzato.",1,"Il tweet contiene odio omotransfobico perché utilizza espressioni offensive e denigratorie come ""gender del cazzo"", ""merde umane checche"" e associa in modo negativo e discriminatorio persone transgender o non conformi al binarismo di genere. Inoltre, l'uso di ""pedofili"" in questo contesto sembra un'accusa infondata e diffamatoria rivolta a queste persone, rafforzando il tono di odio e pregiudizio verso la comunità LGBTQIA+."
5103,@user_abcdefghij @user_abcdefgh Sul portiere ti do ragione. Per il resto in 2 anni record di rigori a favori e prestazioni da culo rotto.,0,
5104,"@user_abc Si si però quando ti ho conosciuto e mi hai chiesto ""scusa Marco puoi raccogliere l'accendino che mi è caduto""..... nel dubbio ti ho risposto ... no guarda ho mal di schiena. Scemo si buliccio no 😉",0,
5105,"@user_abcdefgh @user_abcdef @user_abcdefghi Falco, ma gli rispondi pure a sto povero disagiato de 14 anni con la madre bocchinara dal culo rotto? Già il nickname trasuda un senso de inferiorità che se lo magna vivo, questa è gente insultata dalla vita e che morirà sapendo, in cuor suo, di essere solo merda. [URL]",0,
5106,"l'europa la deve finire di lanciare avvertimenti..! avvertimenti de che..? vada a fare in culo lei e i suoi peracottari di ministri farlocchi..! ha rotto il cazzo, sennò che fa ci invade..?",0,
5107,@user_abcd Siamo la capitale culturale d’Europa.. Da noi i femminielli hanno fatto la guerra ed hanno cacciato insieme al resto della popolazione i #nazisti #SlavaUkraini #LGBTQ #Napoli,0,
5108,"@user_abcdefghij Questi non vanno a puttane, ma a femminielli, possibilmente minorenni, molto minorenni.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in un contesto denigratorio e offensivo, associandolo a una connotazione negativa e potenzialmente pedofila (""possibilmente minorenni, molto minorenni""), che incita al disprezzo e alla diffamazione verso persone LGBTQIA+."
5109,Cari professori miei Io vorrei Che in giro ci fossero meno bulli del cazzo e più gay,0,
5110,"@user_abcdefgh @user_abcdefghij Ah, mi sono fatto lo screenshot in cui mi dai del femminiello per insultarmi senza sapere nulla di me, se mi gira ti faccio una bella querela per diffamazione. Tieni pronto il portafogli che ti spillo i soldi per le vacanze.",0,
5111,"Qualità di #SannaMarin più citate su Twitter: 1. gnocca 2. cresciuta da madre gay 3. NON italiana... Difetti di #SannaMarin più citati su Twitter: solo il fatto che sta per trascinare il suo paese, e con esso il resto del mondo, nella terza guerra mondiale. [URL]",0,
5112,RT @user_abcdefgh @user_abcdefghij Vogliono un mondo di femminielli,1,"Il termine ""femminielli"" è usato in modo dispregiativo e stereotipato per riferirsi a persone LGBTQIA+, in particolare uomini effeminati o transgender. L'espressione ""vogliono un mondo di femminielli"" ha un tono denigratorio e suggerisce un giudizio negativo verso la presenza o l'accettazione di persone LGBTQIA+, configurando odio omotransfobico."
5113,@user_abcdef @user_abcdefg @user_a @user_abcdefghi @user_abcdefghi Buongiorno! Bellissima Porka SucchiaCazzi!,0,
5114,RT @user_abcdef Cerco un vero uomo che non si stanchi mai di farmi sentire una lurida frocia [URL],0,
5115,@user_abcdefghij Buliccio mi è nuova... Me la segno... 🤣,0,
5116,"@user_abcdefg Cojone, il 25 non e’ il 26… e casomai l’hai arzata in faccia al Feyenoord. Lo vedi che sei coglione ?? … noi te l’avemo arzata in faccia a te, visto che ti abbiamo rotto il culo in un derby.. COGLIONE.",0,
5117,@user_abcdefgh Diciamoci la verità: quanti conoscevano Austini prima che Mourinho gli dicesse che in radio fa il leone e davanti a lui “ti fai la caghina addosso?” Anonimità e silenzio,0,
5118,@user_abcdefghi ... solo il 6 al Superenalotto non faccio... un tiro in porta e ventordici parate di #courtois . Culo più grande dei femminielli a Poggioreale... ingiocabili,1,"Il tweet utilizza il termine ""femminielli"" in modo dispregiativo e stereotipato, associandolo a una situazione negativa (""culo più grande dei femminielli a Poggioreale... ingiocabili""). Questo contribuisce a un messaggio denigratorio e offensivo verso persone LGBTQIA+, configurando odio omotransfobico."
5119,Il vero rotto in culo è Davide Ancelotti,0,
5120,"@user_abcdefghij Da bravi no brain vi bevete qualsiasi puttanata raccattata in rete, vi piglia per il culo anche il papero!!!🤣🤣😂🤣",0,
5121,@user_abcd Non vedo travioni o correlati in questo post. Tutto ok?,0,
5122,E niente raga prima puntura di una di quella specie di puttane succhiacazzi comunemente chiamate zanzare,0,
5123,Luciano Ferrara | Spontanea | Napoli Femminielli. @user_abcde [URL],0,
5124,Ecco altro coglioni che fanno i cretini tanto lo piglia in culo solo il popolo [URL],0,
5125,"@user_abcdefghi Non ti caga nessuno di quelli che vuoi che ti caghino, è diverso",0,
5126,purtroppo ho una malattia incurabile si chiama attrazione per i femminielli non c'è una cura hyunjin degli stray kids devi sposarmi [URL],0,
5127,"@user_abcd E quei LACCHÈ DI SANTORO,TRAvaglio,,e quelCOCAINOMANE FEMMINIELLO DI SCANZI",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminello"" in modo dispregiativo e offensivo, associandolo a insulti e termini denigratori, esprimendo disprezzo verso una persona presumibilmente percepita come effeminata o appartenente alla comunità LGBTQIA+."
5128,"@user_abcdefg Inetto lo vai a dire a quel disgraziato che ti ha sborrato dai coglioni, capra del cazzo rotto in culo",0,
5129,"@user_abcd a parte che se a uno piace il cazz non c'è niente di male finché ""esercita"" con persone adulte e consenzienti. Nel mio caso però mi spiace deluderti, non sono consenziente ed è facile che fra me e te, in un'eventuale e sgradita diatriba, quello che si trova a culo busone sia tu.",0,
5130,domani frocia fino al midollo come se non lo fossi già,0,
5131,"@user_abcdefg Anche lui era sotto mkultra quando ha twittato quella robaccia, come il travione pluriomicida.",1,"Il tweet utilizza il termine offensivo ""travione"", che è un insulto omotransfobico rivolto a persone transgender, associandolo a un'accusa grave (""pluriomicida"") in modo denigratorio. Questo costituisce un'espressione di odio omotransfobico."
5132,@user_abcde nn capisco come le pagine che trattano di pop non la caghino quando letteralmente apro tiktok e c'è una canzone di lana pure how to disappear cioè the other woman è andata virale il suo potere ??,0,
5133,anche lui nella lista femminielli smash [URL],0,
5134,@user_abcdefgh si vede non son di #Genova se no c'era scritto buliccio,0,
5135,@user_ab Risata da ricchione mangia cazzi,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""ricchione"" come insulto diretto, un termine storicamente usato in modo dispregiativo verso persone omosessuali, associandolo a un'offesa volgare."
5136,"@user_abcdefghi Confermati da ""chi"" e ""come""? ""è culattone e ha le bolle"" non vale",1,"Il tweet utilizza il termine ""culattone"", che è un insulto omotransfobico rivolto a persone omosessuali, in modo denigratorio. L'espressione ha un tono offensivo e contribuisce a diffondere odio verso le persone LGBTQIA+."
