id,text,label,explanation
5014,@user_ @user_abc In effetti Zelensky ha davvero rotto le palle nel voler trascinare nella sua guerra tutto il mondo. Se ne vada a quel paese con Draghi che deve stare attento che se zelensky si ferma di colpo la sua lingua gli va due metri su per il culo.,0,
5015,@user_abcdefgh Infatti hai più cazzo di me travione....,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""travione"" in modo dispregiativo, implicando che avere caratteristiche associate al genere opposto (in questo caso, avere ""più cazzo"") sia un difetto o qualcosa di negativo e derisorio."
5016,"@user_abcdefgh ma che poi lesbica slur ma che cazzo, pero frocia non lo è nella loro testa magari",1,"Il tweet contiene odio omotransfobico perché utilizza l'appellativo ""frocia"" in modo dispregiativo e sminuente, insinuando che non sia considerato un insulto nella mente di altre persone."
5017,@user_abc @user_abcdefghij Anche il coglione di Speranza...ma poi è passato a LEU con Bersani ... pensa un po'.. è pure femminiello [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in maniera dispregiativa, associandolo a connotazioni negative e denigratorie nei confronti della persona a cui si riferisce."
5018,guardare scene gay con i propri genitori omofobi is a second hand embarassment,0,
5019,@user_abcdefg Fare il buliccio con il culo degli altri,0,
5020,@user_abcd Ringraziamo signor Ascione travione❤️,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""travione"", un insulto dispregiativo nei confronti di persone transgender o considerate non conformi alle norme di genere."
5021,Ecco… torna dal tuo amichetto busone [URL],1,"Il tweet contiene odio omotransfobico perché usa il termine ""busone"", un insulto omofobico, per denigrare una persona."
5022,devo chiaramenti rivedere free perchè i mias i miei nuotatori gay,0,
5023,"Però loro non danno fastidio, ragazzi che si divertono a disturbare e sporcare un condominio. Spero che si caghino tutti addosso.",0,
5024,"@user_abcdefgh al di là delle motivazioni, che non sono quelle economiche, non sono già esistiti i castrati e i femminielli? (intendo dire: non hanno inventato nemmeno questo, pure questo c'è già stato nella storia)",0,
5025,"@user_abcdefghij Ma perché non ve ne andate tutti a casa . Voi avete rotto i coglioni , e incapaci noi di mandarvi a quel paese . Volete la guerra VI VOGLIO TUTTI IN PRIMA FILA INCOMINCIANDO DA MATTARELLA DRAGHI E QUEI LECCA CULO CHE VENGONO DOPO .",0,
5026,@user_abcdef Che poi sembra che se cambia il colore del 50% delle strisce della maglia di Dybala non si possono masturbare per il femminiello ste subumane,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" (che può essere usato in modo neutro o positivo in alcuni contesti) in maniera dispregiativa e paragonando le persone a ""subumane""."
5027,La musica negra e la musica frocia [URL],1,"Il tweet contiene odio omotransfobico perché equipara la musica nera all'essere ""frocia"", implicando che quest'ultimo sia qualcosa di negativo o dispregiativo."
5028,"@user_ab Oddio! 😱 a casa mia abbiamo praticamente il festival del pride tra gadgets e vestiti e adesso mi vuoi dire che sono frocia e non l'ho mai saputo? Anzi, che siamo una famiglia di froci!! E mo chi lo dice a mio marito?? 🤣🤣🤣",0,
5029,@user_abcdefg @user_abcdefgh Se qualcosa si è rotto la licenzi senza trattare di merda un ragazzo che non centra un cazzo! Ma io so cosa si è rotto: che Giuliano li ha mandati giustamente a fare in culo e Veronica non serve più a garantire la presenza del fratello!,0,
5030,"Mio cognato entra in casa e va da mia madre: ""Auguri, buona festa della mamma. Godetevela che è una delle ultime, perché tutte questi movimenti attivisti di cui vostra figlia è fieramente parte vogliono toglierla da mezzo per rispetto dei figli dei gay"". [URL]",0,
5031,@user_abcdefg A me basta che ci caghino gli autori. E direi che lo fanno egregiamente [URL],0,
5032,"@user_abc @user_abcd Sì Igor se vinci stasera te la danno la Champions di Manchester, sicuramente rotto in culo di merda",1,"Il tweet contiene odio omotransfobico perché utilizza l'espressione ""rotto in culo di merda"" come insulto, implicando un'accezione negativa legata all'omosessualità."
5033,Lezione sui femminielli napoletani io sto VIVENDO,0,
5034,"@user_abcde Sai cosa aggiungo ( perchè mi sono rotto il cazzo ): un paese dove va tutto a puttane la gente perde tempo con la Franchi anzichè prendere a calci in culo sti 4 figli di puttana che continuano a massacrare il paese, gli Italiani hanno quello che meritano.",0,
5035,@user_abcdef Lassaperde fighetto non è roba per femminielli! [URL],1,"Il tweet contiene odio omotransfobico perché utilizza l'appellativo ""femminielli"" in modo dispregiativo, implicando che non siano adatti a certe cose."
5036,@user_ab ma valuta di andare a fare in culo. BASTA. AVETE ROTTO IL CAZZO.,0,
5037,Questo ragazzo domani diventerà un femminiello! [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" (che può essere usato in modo neutro o affettivo in alcuni contesti) in modo dispregiativo, implicando una transizione di genere come qualcosa di negativo o ridicolo."
5038,@user_abcdef succede che lo si piglia in culo,0,
5039,"@user_abcdefghij Io avrei firmato per il pari, invece gli abbiamo rotto il culo, erano anni che non li battevamo. Francamente della differenza reti non mi interessa nulla, se non entreremo in europa andrei a ricercare le cause in altre partite. Per ora penso solo a godere.",0,
5040,chuck sta stagione se la piglia solo in culo and im living for it,0,
5041,@user_abcdefgh Ma perché sto coglione di Pregliasco non lo facciamo esiliare da qualche parte dove la smette di rompere i coglioni al prossimo??? Basta ha letteralmente rotto i coglioni…in autunno se ne vada a fare in culo da qualche altra parte,0,
5042,"La gonzeria che parla di vigoria sproporzionata di #Skriniar dopo lo strike di Giroud su Sanchez e i reiterati falli vigliakki da rosso(su Barella,Torreira,Vidal )di #GomiTheo hernandez,è esilarante. In un paese normale il femminiello platinato sarebbe squalificato ogni 3 partite [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo per denigrare il giocatore Theo Hernandez, implicando che la sua presunta effeminatezza dovrebbe portare a squalifiche."
5043,@user_abcdef peccato che ne Zelensky nè Putin lo caghino,0,
5044,"Quindi un gay non può fare sesso con una donna trans a causa delle tette di silicone, il pene non basta (ovviamente le donne trans sono quelle bambole porno dell'immaginario comune poi magari dite di non essere transfobici) ma con una persona che ha le tette e pure la vagina sì",0,
5045,"@user_abcd @user_abcdefgh @user_abcdefgh @user_ Perche non vai a combattere per i tuoi fratelli nazisti che stanno perdendo in modo vergognoso?, un conto è trucidare i civili filoRussi, ma quando si deve combattere contro i soldati Russi sti femminielli diventano pecore, vagli a dare una mano no?, col cazzo eh 😂",1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""femminielli"" per insultare e denigrare un gruppo di persone, associando implicitamente tale termine a codardia e incapacità di combattere."
5046,@user_abcdefgh @user_abcdefghij @user_abcdefgh Eh ma com'è possibile che non siete riusciti a batte una squadra da intertoto? Vedi che ve servono pure a voi più giorni per recuperare. Ma il Galatasaray si è fatto dare 40 punti dal Trazbonspor che stava in intertoto. E comunque a te er Bologna t'ha rotto il culo.,0,
5047,@user_abcd Unica nota positiva della serata: sapere che l'anno prossimo il femminiello Dybala giocherà con loro. 😻😂,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in modo dispregiativo per riferirsi a un calciatore, insinuando che la sua omosessualità (reale o presunta) sia una caratteristica negativa o ridicola."
5048,@user_abcdefgh Agnelli e Allegri sono fatti della stessa materia.E chi si assomigli si piglia. Il pres abbraccia il cinese il giorno prima della partita e il giorno lo pigliano per il culo con arbitraggio in pura malafede.A parti invertite avresti visto le sommosse dalla cina e i caschi blu quì,0,
5049,nomina una cosa gay ed omofoba e perché proprio la felpa orrenda di hoseok con scritto stussy sopra,0,
5050,@user_abcdefghi ti farei vedere la mia squadra.. frocia a livelli stellari,1,"Il tweet contiene odio omotransfobico perché usa l'appellativo ""frocia"" in un contesto che sembra voler essere un vanto ( ""a livelli stellari""), ma che in realtà sottintende un giudizio negativo e stereotipato."
5051,@user_abcde Secondo me si è fermato a travioni a Boccea,0,
5052,conservando primogems per il mio femminiello preferito xiao aspettami [URL],0,
5053,"Basta mi sono rotto il cazz* di tutte le prese per il culo che ho preso, d'ora in poi chi non mi rispetta avrà quello che si merita.",0,
5054,"@user_abcdefghij Madonna mia quei quattro peracottari! Non gli va proprio giù che MC e GA non li caghino di striscio! A furia di rompere le palle loro e Gloria non mi fanno godere per bene la sua storia. Poi io ho sempre amato Fede, ma con le loro teorie assurde me lo stano facendo odiare!",0,
5055,"@user_abcdef Lbgtq in realtà. Non chiedermi cosa sia la q, io ho capito solo la L di leccapassere e la T di travioni o transoni. Sulla G e B ho forti sospetti, ma preferisco non sbilanciarmi 😄",1,"Il tweet contiene odio omotransfobico perché utilizza termini dispregiativi come ""leccapassere"", ""travioni"" e ""transoni"" per riferirsi a persone LGBTQIA+, denigrando e stereotipando le identità di genere e l'orientamento sessuale."
5056,@user_abcdefg Stai zitto femminiello che non sapevi manco dove stava l’ucraina,1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""femminiello"" per insultare l'utente."
5057,@user_abcdef Che poi non è una pratica Cristiana? È normale che se lo caghino solo le persone anziane,0,
5058,"@user_abcdefghi Con sincerità, vattelo a piglia' on culo truce tutti i cogliomi come te. Nel caso non lo avessi capito, si sei in COGLIONE",0,
5059,"@user_abcdefgh RAGAZZOTTI , FEMMINUCCE,FEMMINIELLI .,SMIDOLLATI E SMINCHIONATI ASSAI ** Sinistri *.. [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza termini dispregiativi come ""femminucce"", ""femminielli"", ""smidollati"" e ""sminchionati"" con l'intento di insultare e denigrare, potenzialmente rivolgendosi a persone LGBTQIA+ o percepiti come tali."
5060,"BACIO CON LINGUA, IL SATANISTA LUCA NALI (FOTO), SI #LUCANALI, NOTO OVUNQUE COME LUCA ""ANALI""! ANCHE LUI, PARTE DI NOSTRA MASSONERIA, LA 1MA #MASSONERIA OMOSESSUALE AL MONDO ""LA MASSONERIA IN ROSA DELLA ROSA ROSA""! CON GRAN MAESTRO IL GAY PERVERSO E NAZI卐LEGHISTA #GIOELEMAGALDI! [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza termini dispregiativi come ""omosessuale"", ""gay perverso"", e ""Luca ANALI"" (con chiaro riferimento sessuale anale) in un contesto complottista e denigratorio nei confronti di Luca Nali e Gioele Magaldi, insinuando un legame tra omosessualità, satanismo, massoneria e nazismo in modo diffamatorio."
5061,"lo dico subito prima che mi caghino il cazzo, con ""se la dedicano a vicenda"" non intendo che si stanno dichiarando amore eterno, parlo del modo in cui si presentano sul palco, della complicità delle voci 👍",0,
5062,FEMMINIELLI PAZZI SIMP RIGHT HERE [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""femminielli"" associato all'aggettivo ""pazzi"", denigrando e sminuendo le persone LGBTQIA+."
5063,chi era che aveva scritto quel tweet che diceva non esiste persona più gay e omofoba allo stesso tempo di Malgi0glio,0,
5064,@user_abcd Saverio ti fai il segno della croce prima di andare a Femminielli?,0,
5065,@user_abcdef Vai te a fare il cameriere in un albergo tre stelle in Romagna ti ci vedrei bene quello dovresti fare quello ti meriti brutto rotto in culo. Ancora che parla sto fallito cazzo ha meno del 2% E continua con le sue stronzate,0,
5066,"Lui invece a differenza dei paraculo , se la piglia in culo [URL]",0,
5067,non chiedo troppissimo solo almeno un mio fratello che mi dica “ciao se sei gay non ti odio anzi voglio conoscere la tua ragazza vieni a cena volentieri che ti facciamo le domande cringe che si fanno alle coppiette”,0,
5068,@user_abc anche vero che ci sono i femminielli ma non le maschielle,0,
5069,@user_abcdefghij @user_abcdefg Lo schifo che mi fa il femminiello asiatico vestito da rottinculo supera ogni cosa,1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""femminiello"" in associazione ad un altro termine volgare e offensivo, denigrando l'aspetto e l'identità di genere della persona a cui si riferisce."
5070,comunque io me la meritavo una palestra piena di boni fighi e almeno un paio in più di gay ma qua sono tutti vecchi ed etero fino al midollo,0,
5071,RT @user_abcdefghij cagna succhiacazzi cosa le fareste? [URL],0,
5072,"@user_abcdefg Intanto te lo piglia in culo con la sabbia grossa, ridicol9",1,"Il tweet contiene odio omotransfobico perché l'espressione ""te lo piglia in culo"" è usata in modo dispregiativo e con intento offensivo, sottintendendo un'aggressione sessuale a sfondo omofobico."
5073,"@user_abcde @user_abcdefgh I ragazzi, da che mondo è mondo, fanno a botte x qualsiasi motivo. È l' aggressività giovanile. Cazzo volete una generazione di ""femminielli"" con smalto e fondotinta?",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in modo dispregiativo, associandolo a una presunta mancanza di virilità e a caratteristiche considerate indesiderabili, in opposizione all'aggressività giovanile considerata ""normale""."
5074,"Nella prossima puntata di #Vitalia, @user_abcd racconterà la juta dei femminielli di Montevergine, in provincia di Avellino. ▶️ Venerdì alle 23.55 su #Rai2 e #RaiPlay [URL]",0,
5075,Non ho ancora capito se takeomi sia omofobo o gay represso che vota S4lv1n1,0,
5076,Se volete potete studiare un po' la storia. Cretini. [URL],0,
5077,"Oggi mi sono ricordata delka dichiarazione di una madre sentita anni fa. Diceva: ""preferisco che mio figlio venga violentato da un pedofilo piuttosto che sia gay"". Ogni volta ho il magone allo stomaco a ripensarci. #LGBTQIA #Pride2022 #omofobia",1,"Il tweet contiene odio omotransfobico perché riporta una dichiarazione che esprime una preferenza per la violenza su un figlio piuttosto che accettare la sua omosessualità, equiparando l'omosessualità a qualcosa di peggiore della pedofilia."
5078,"@user_abcdefghij Come diceva Jerry Calà (nel film ""Vacanze in America"") finito per sbaglio in una festa gay: ""Io sono per la vecchia FAIGA, understand?"" E uno di loro: ""Quanto sei antico."" E Calà: ""Quanto sei frocia...""",1,"Il tweet contiene odio omotransfobico perché riporta l'insulto ""quanto sei frocia..."" rivolto a una persona gay, perpetuando un linguaggio omofobo."
5079,"ripetete insieme a me: i marpioni/maniaci esistono e non hanno genere, hanno sia la fessa che il cazzo, sono sia etero che lesbiche, bi, gay, transgender, pan &co e NESSUNO dev'essere mai giustificato,se sbagli, sbagli",0,
5080,E dopo #SheHulk io aspetto solo che caghino anche Neena e Felicia💘 [URL],0,
5081,"Nell’Italia che vorrei… Adozioni per single e coppie gay, matrimoni gay e maternità surrogata per tutti, chiaramente. #Bifobia",0,
5082,yesssss prima anche qui da noi così c'è qualche possibilità che ci caghino per il tour 🤩 [URL],0,
5083,@user_abcde Mi sciacquo le palle con il pensiero di Travione,0,
5084,La destra ferocia che ci difende dalla sinistra frocia... [URL],,"Il tweet contiene odio omotransfobico perché utilizza l'appellativo ""frocia"" in riferimento alla sinistra politica, insinuando che l'omosessualità sia qualcosa di negativo e da cui difendersi."
5085,@user_abcdefghi Lei in Campania come femminiello ce lo teniamo😂🙃😉,0,
5086,"Come creare altre nuove divisioni con il #vaiolodellescimmie, fomentando odio verso blacks e gay. Settimana delle #Diversità e dell'#inclusione.",0,
5087,"#Vaiolo delle scimmie. Dopo la giornata mondiale in salsa arcobaleno #LGBT+oo, #SkyNewsUK ci spiega il virus si diffonda particolarmente tra gay, bisessuali e MSM È tutto così fantastico! #Informazione #EcoDelleScatoleCraniche [URL]",0,
5088,"Cosenza, 16enne insultato e picchiato dallo zio perché omosessuale: ""Ora muori a casa. Non vogliamo gay in famiglia"" Gravi lesioni e quattro costole rotte Per non dimenticare: Ottobre 2021, il senato approva affossamento DDL Zan,la destra più becera d'Europa esulta 👇 [URL]",,"Il tweet riporta un episodio di violenza omofoba, citando esplicitamente insulti come ""Non vogliamo gay in famiglia"", che costituiscono odio omotransfobico."
5089,"E da lì poi ha rotto i coglioni in ogni serie spin off possibile (sì raga non smetterò mai di riperterlo, non mi piace e lo prenderò per il culo fino alla morte) [URL]",0,
5090,"@user_abcd Sai che ti dico: che ve stanno a piglia’ per culo, vogliono i vostri voti! La guerra in Ucraina non è affare che possono gestire questi la gestisco Cina e USA svegliateve!",0,
5091,"È stata sempre una città in cui tutto e tutti sono compresi. I ""femminielli"" erano parte della comunità. Spero sempre che non si guasti la gente comune (al di là delle persone già guaste, che sono straordinariamente guaste). [URL]",0,
5092,ma che domanda è ci sono i gay se sono tutti dei froci #idolinsardegna,,
5093,@user_abcde Non riesco ad immaginarmi un Turco buliccio... e neppure un Greco...Strano vero?!,0,
5094,"@user_abcdefgh E' giusto e normale che si caghino... quante volte è capitato a noi? Anche l'anno scorso con 10 punti di vantaggio ci veniva la cagarella, immagino loro.",0,
5095,@user_abcdefg sembra un travione di quelli potenti,1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""travione"" per insultare o denigrare l'aspetto della persona menzionata."
5096,chi e il femminiello che ha messo bladee all’h&m a foggia ?????,1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""femminiello"" per riferirsi a una persona in modo denigratorio."
5097,frocia e omofoba verso me stessa,0,
5098,quando torino diventerà il focolare principale di vaiolo delle scimmie in italia a causa della grande presenza di gay geriatria di madrid per l'eurovision,1,"Il tweet contiene odio omotransfobico perché associa la presenza di persone gay alla diffusione di una malattia, creando un'associazione stigmatizzante e discriminatoria."
5099,"Allontaniamo sti coglioni dal mondo Lazio? Ancora con te frasi razziste nel 2022 ad un ragazzetto che sta semplicemente lavorando. Avete rotto il cazzo merde umane. Col gommone ve ce manno io, ma a fare in culo [URL]",0,
5100,GODOOO GRANDE MILAN CONTRO QUEGLI SUCCHIACAZZI GODOOOO #SassuoloMilan,0,
5101,Eeeehhhh E non è nemmeno mai stato un femminiello [URL],0,
5102,"gente di merda. gender del cazzo. merde umane checche da ciao darwin che non siete ne uomo ne donna e umani. pedofili, anche persecutori di persone gay come me che sognano un cazzo di ragazzo umano normale. con tutte le carte in regola per essere un comune fidanzato.",1,"Il tweet contiene odio omotransfobico perché utilizza l'insulto ""checche"" in modo dispregiativo per denigrare persone non conformi agli stereotipi di genere, e associa implicitamente l'essere ""checca"" ad altri comportamenti negativi come la pedofilia."
5103,@user_abcdefghij @user_abcdefgh Sul portiere ti do ragione. Per il resto in 2 anni record di rigori a favori e prestazioni da culo rotto.,0,
5104,"@user_abc Si si però quando ti ho conosciuto e mi hai chiesto ""scusa Marco puoi raccogliere l'accendino che mi è caduto""..... nel dubbio ti ho risposto ... no guarda ho mal di schiena. Scemo si buliccio no 😉",0,
5105,"@user_abcdefgh @user_abcdef @user_abcdefghi Falco, ma gli rispondi pure a sto povero disagiato de 14 anni con la madre bocchinara dal culo rotto? Già il nickname trasuda un senso de inferiorità che se lo magna vivo, questa è gente insultata dalla vita e che morirà sapendo, in cuor suo, di essere solo merda. [URL]",0,
5106,"l'europa la deve finire di lanciare avvertimenti..! avvertimenti de che..? vada a fare in culo lei e i suoi peracottari di ministri farlocchi..! ha rotto il cazzo, sennò che fa ci invade..?",0,
5107,@user_abcd Siamo la capitale culturale d’Europa.. Da noi i femminielli hanno fatto la guerra ed hanno cacciato insieme al resto della popolazione i #nazisti #SlavaUkraini #LGBTQ #Napoli,0,
5108,"@user_abcdefghij Questi non vanno a puttane, ma a femminielli, possibilmente minorenni, molto minorenni.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in un contesto dispregiativo e allusivo alla pedofilia, insinuando un comportamento illecito e denigratorio nei confronti di questa categoria di persone."
5109,Cari professori miei Io vorrei Che in giro ci fossero meno bulli del cazzo e più gay,0,
5110,"@user_abcdefgh @user_abcdefghij Ah, mi sono fatto lo screenshot in cui mi dai del femminiello per insultarmi senza sapere nulla di me, se mi gira ti faccio una bella querela per diffamazione. Tieni pronto il portafogli che ti spillo i soldi per le vacanze.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" come insulto, implicando che sia qualcosa di negativo o dispregiativo."
5111,"Qualità di #SannaMarin più citate su Twitter: 1. gnocca 2. cresciuta da madre gay 3. NON italiana... Difetti di #SannaMarin più citati su Twitter: solo il fatto che sta per trascinare il suo paese, e con esso il resto del mondo, nella terza guerra mondiale. [URL]",0,
5112,RT @user_abcdefgh @user_abcdefghij Vogliono un mondo di femminielli,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminielli"" in un contesto dispregiativo, suggerendo che l'idea di un ""mondo di femminielli"" sia indesiderabile."
5113,@user_abcdef @user_abcdefg @user_a @user_abcdefghi @user_abcdefghi Buongiorno! Bellissima Porka SucchiaCazzi!,0,
5114,RT @user_abcdef Cerco un vero uomo che non si stanchi mai di farmi sentire una lurida frocia [URL],1,"Il tweet contiene odio omotransfobico perché utilizza l'appellativo ""frocia"" in un contesto umiliante e degradante (""lurida frocia""), implicando un disprezzo verso l'omosessualità."
5115,@user_abcdefghij Buliccio mi è nuova... Me la segno... 🤣,0,
5116,"@user_abcdefg Cojone, il 25 non e’ il 26… e casomai l’hai arzata in faccia al Feyenoord. Lo vedi che sei coglione ?? … noi te l’avemo arzata in faccia a te, visto che ti abbiamo rotto il culo in un derby.. COGLIONE.",0,
5117,@user_abcdefgh Diciamoci la verità: quanti conoscevano Austini prima che Mourinho gli dicesse che in radio fa il leone e davanti a lui “ti fai la caghina addosso?” Anonimità e silenzio,0,
5118,@user_abcdefghi ... solo il 6 al Superenalotto non faccio... un tiro in porta e ventordici parate di #courtois . Culo più grande dei femminielli a Poggioreale... ingiocabili,1,"Il tweet contiene odio omotransfobico perché usa il termine ""femminielli"" in modo dispregiativo, paragonando la fortuna del soggetto a ""culo più grande dei femminielli"", implicando che essere femminielli sia qualcosa di negativo o ridicolo."
5119,Il vero rotto in culo è Davide Ancelotti,0,
5120,"@user_abcdefghij Da bravi no brain vi bevete qualsiasi puttanata raccattata in rete, vi piglia per il culo anche il papero!!!🤣🤣😂🤣",0,
5121,@user_abcd Non vedo travioni o correlati in questo post. Tutto ok?,1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""travioni"" in modo dispregiativo e insinuante, suggerendo che l'assenza di persone transgender o con caratteristiche associate al genere opposto sia in qualche modo anomala o problematica."
5122,E niente raga prima puntura di una di quella specie di puttane succhiacazzi comunemente chiamate zanzare,0,
5123,Luciano Ferrara | Spontanea | Napoli Femminielli. @user_abcde [URL],0,
5124,Ecco altro coglioni che fanno i cretini tanto lo piglia in culo solo il popolo [URL],0,
5125,"@user_abcdefghi Non ti caga nessuno di quelli che vuoi che ti caghino, è diverso",0,
5126,purtroppo ho una malattia incurabile si chiama attrazione per i femminielli non c'è una cura hyunjin degli stray kids devi sposarmi [URL],0,
5127,"@user_abcd E quei LACCHÈ DI SANTORO,TRAvaglio,,e quelCOCAINOMANE FEMMINIELLO DI SCANZI",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""femminiello"" in maniera dispregiativa, associandolo ad altri insulti e implicitamente denigrando l'orientamento sessuale o l'identità di genere della persona a cui si riferisce."
5128,"@user_abcdefg Inetto lo vai a dire a quel disgraziato che ti ha sborrato dai coglioni, capra del cazzo rotto in culo",0,
5129,"@user_abcd a parte che se a uno piace il cazz non c'è niente di male finché ""esercita"" con persone adulte e consenzienti. Nel mio caso però mi spiace deluderti, non sono consenziente ed è facile che fra me e te, in un'eventuale e sgradita diatriba, quello che si trova a culo busone sia tu.",1,"Il tweet contiene odio omotransfobico perché utilizza l'espressione ""culo busone"" con intento dispregiativo e minaccioso, collegando l'omosessualità a una condizione di inferiorità e vulnerabilità."
5130,domani frocia fino al midollo come se non lo fossi già,0,
5131,"@user_abcdefg Anche lui era sotto mkultra quando ha twittato quella robaccia, come il travione pluriomicida.",1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""travione"" riferendosi a una persona e associandolo a un crimine grave come l'omicidio, contribuendo a stereotipizzare e denigrare le persone transgender."
5132,@user_abcde nn capisco come le pagine che trattano di pop non la caghino quando letteralmente apro tiktok e c'è una canzone di lana pure how to disappear cioè the other woman è andata virale il suo potere ??,0,
5133,anche lui nella lista femminielli smash [URL],1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""femminielli"" in un contesto che suggerisce oggettificazione sessuale, implicando un atteggiamento irrispettoso e umiliante verso le persone transgender e/o gender non-conforming."
5134,@user_abcdefgh si vede non son di #Genova se no c'era scritto buliccio,0,
5135,@user_ab Risata da ricchione mangia cazzi,1,"Il tweet contiene odio omotransfobico perché utilizza l'insulto ""ricchione mangia cazzi"", che è un'espressione omofoba e volgare."
5136,"@user_abcdefghi Confermati da ""chi"" e ""come""? ""è culattone e ha le bolle"" non vale",1,"Il tweet contiene odio omotransfobico perché utilizza il termine dispregiativo ""culattone"" per riferirsi a qualcuno."
5137,"E per Natale, il Culattone. #esselunga [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza il termine ""culattone"", un epiteto dispregiativo nei confronti delle persone omosessuali, in un contesto presumibilmente ironico o denigratorio."
5138,@user_abcdefgh No dieci 😂😂😂 Sti rottinculo 🤣🤣🤣,0,
5139,"QUESTI PERBENISTI HANNO ROTTO IL CAZZO!!! FROCIO NO, CULATTONE NO, RECCHIONE NO!! FATEVI VEDERE DA UNO BRAVO!! [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza una serie di appellativi dispregiativi (""frocio"", ""culattone"", ""recchione"") rivolti a persone LGBTQIA+, esprimendo intolleranza e invitando implicitamente a un ""trattamento"" psicologico, suggerendo che l'omosessualità sia una malattia."
5140,"Gli occhioni, i baffetti, la collana tamarra, la camicetta frocia, è un mix troppo perfetto e letale per me Kim Taehyung, sei un maledetto ⚰️⚰️⚰️⚰️⚰️🪦🪦🪦🪦🪦 [URL]",1,"Il tweet contiene odio omotransfobico perché utilizza l'aggettivo ""frocia"" in riferimento a una camicetta, sminuendo e deridendo l'identità LGBTQIA+ attraverso l'associazione a un capo d'abbigliamento e connotandolo negativamente."
